Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024,History,Crime,Fantasy,War,Science Fiction,Action,Drama,Animation,Western,Romance,Documentary,Adventure,Mystery,Thriller,TV Movie,Family,Music,Horror,Comedy
Shrek Forever After,2010,63.0,"Comedy,Adventure,Fantasy,Animation,Family",5,English,165000000.0,756244673.0,591244673.0,"216,105,839.78","990,478,122.07","774,372,282.28",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
The Princess and the Frog,2010,72.0,"Romance,Family,Animation",3,English,105000000.0,270997378.0,165997378.0,"137,521,898.04","354,934,036.07","217,412,138.03",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Zootopia,2016,77.0,"Animation,Adventure,Family,Comedy",4,English,150000000.0,1002462578.0,852462578.0,"178,491,668.99","1,192,874,791.00","1,014,383,122.01",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
The Book of Daniel,2013,73.0,"Fantasy,Drama",2,English,92600000.0,428471214.2,335871214.2,"113,523,512.92","525,286,797.22","411,763,284.29",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2,2010,68.0,"Adventure,Action,Science Fiction",3,English,170000000.0,621156389.0,451156389.0,"222,654,501.60","813,548,624.74","590,894,123.14",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Conjuring,2013,75.0,"Horror,Thriller",2,English,20000000.0,316849722.0,296849722.0,"24,519,117.26","388,443,774.41","363,924,657.15",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Fast & Furious Presents: Hobbs & Shaw,2019,69.0,"Action,Adventure,Comedy",3,English,200000000.0,760732926.0,560732926.0,"223,420,442.23","849,816,433.74","626,395,991.51",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
The Maze Runner,2014,72.0,"Action,Mystery,Science Fiction,Thriller",4,English,34000000.0,348319861.0,314319861.0,"41,017,124.56","420,208,209.58","379,191,085.02",0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,2014,73.0,"Action,Adventure,Fantasy",3,English,250000000.0,940323039.0,690323039.0,"301,596,504.12","1,134,392,565.23","832,796,061.11",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Mary Magdalene,2018,63.0,"Drama,History",2,English,7855689.0,11710110.0,3854421.0,"8,934,619.50","13,318,421.49","4,383,801.99",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Pilgrim's Progress,2019,78.0,"Animation,Adventure",2,English,101000000.0,893800197.2,792800197.2,"112,827,323.33","998,466,176.63","885,638,853.30",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Thor: Ragnarok,2017,76.0,"Action,Adventure,Fantasy,Science Fiction,Comedy",5,English,180000000.0,850482778.0,670482778.0,"209,722,176.89","990,917,220.07","781,195,043.17",0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Noah,2014,56.0,"Drama,Adventure",2,English,130000000.0,352831065.0,222831065.0,"156,830,182.14","425,650,463.00","268,820,280.86",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Ant-Man,2015,71.0,"Science Fiction,Action,Adventure",3,English,130000000.0,518858449.0,388858449.0,"156,644,249.15","625,201,478.13","468,557,228.98",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Frozen II,2019,73.0,"Family,Animation,Adventure,Comedy,Fantasy",5,English,150000000.0,1437862795.0,1287862795.0,"167,565,331.67","1,606,239,707.65","1,438,674,375.97",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Shrek the Third,2007,63.0,"Fantasy,Adventure,Animation,Comedy,Family",5,English,160000000.0,807330936.0,647330936.0,"220,385,643.04","1,112,025,921.75","891,640,278.70",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Ratatouille,2007,78.0,"Animation,Comedy,Family,Fantasy",4,English,150000000.0,626549695.0,476549695.0,"206,611,540.35","863,015,983.95","656,404,443.59",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Deadpool,2016,76.0,"Action,Adventure,Comedy",3,English,58000000.0,781947691.0,723947691.0,"69,016,778.68","930,474,322.88","861,457,544.20",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
The Good Dinosaur,2016,68.0,"Adventure,Animation,Family",3,English,187500000.0,333771037.0,146271037.0,"223,114,586.24","397,168,996.37","174,054,410.13",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"Paul, Apostle of Christ",2018,75.0,"Drama,History",2,English,5000000.0,26078500.0,21078500.0,"5,686,719.21","29,660,221.37","23,973,502.16",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
