Profit,Action,Romance,Science Fiction,Thriller,Family,Crime,Documentary,Drama,Mystery,TV Movie,Music,Adventure,War,Animation,Western,Comedy,Horror,Fantasy,History
1216511219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216511219.0,0.0,0.0,0.0,0.0,0.0,1216511219.0,0.0
188120004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188120004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445483719.0,0.0,0.0,0.0,0.0,445483719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445483719.0,0.0,445483719.0,0.0,0.0,0.0
661000000.0,661000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661000000.0,0.0,0.0,0.0,0.0,0.0,661000000.0,0.0
865253978.0,0.0,865253978.0,0.0,0.0,865253978.0,0.0,0.0,0.0,0.0,0.0,0.0,865253978.0,0.0,865253978.0,0.0,865253978.0,0.0,865253978.0,0.0
316985018.0,0.0,316985018.0,0.0,0.0,0.0,0.0,0.0,316985018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285540831.0,285540831.0,0.0,285540831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285540831.0,0.0,285540831.0,0.0,0.0,0.0,0.0,0.0
704305868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704305868.0,0.0,0.0,0.0,0.0,0.0,704305868.0,0.0
76860808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76860808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76860808.0,0.0
515011224.0,515011224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515011224.0,0.0,0.0,0.0,0.0,0.0,515011224.0,0.0
-6100397.0,0.0,0.0,0.0,-6100397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6100397.0,0.0,0.0
666713802.0,666713802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666713802.0,0.0,0.0,0.0,0.0,0.0,666713802.0,0.0
622660271.0,0.0,0.0,0.0,0.0,622660271.0,0.0,0.0,0.0,0.0,0.0,622660271.0,622660271.0,0.0,622660271.0,0.0,622660271.0,0.0,622660271.0,0.0
335270951.0,0.0,0.0,0.0,0.0,335270951.0,0.0,0.0,0.0,0.0,0.0,0.0,335270951.0,0.0,335270951.0,0.0,335270951.0,0.0,0.0,0.0
722271384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722271384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722271384.0
2022985568.0,0.0,2022985568.0,0.0,0.0,0.0,0.0,0.0,2022985568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641575131.0,0.0,0.0,641575131.0,641575131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641575131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18597554.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18597554.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18597554.6,0.0,0.0
