Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024
Solar Impact,2019,27.0,"Action,Fantasy,Thriller", English,15541000.0,38139010.0,22598010.0,17360885.46372679,42605172.40267233,25244286.93894554
Star Wars: The Last Jedi,2017,68.0,"Adventure,Action,Science Fiction", English,200000000.0,1332698830.0,1132698830.0,233024640.99216712,1552758332.0571556,1319733691.0649886
The Expendables,2010,62.0,"Thriller,Adventure,Action", English,82000000.0,268268174.0,186268174.0,107398053.71097334,351359509.270692,243961455.55971864
Happy Feet,2006,62.0,"Animation,Comedy,Family", English,85000000.0,385000315.0,300000315.0,120414558.53174604,545407564.2977431,424993005.7659971
The Predator,2018,56.0,"Science Fiction,Action,Adventure", English,88000000.0,159487563.0,71487563.0,100086258.04935744,181392197.56910402,81305939.51974657
Hercules,2014,58.0,"Action,Adventure", English,100000000.0,243388614.0,143388614.0,120638601.64909437,293620620.50271195,172982018.85361755
Barbie as The Princess & the Pauper,2017,75.0,"Animation,Family,Comedy", English,106600000.0,371183212.4,264583212.4,124202133.64882506,432474174.0591465,308272040.4103215
Rush Hour,1998,70.0,"Action,Comedy,Crime", English,35000000.0,245300000.0,210300000.0,61324079.75460123,429794193.2515338,368470113.49693257
Orphan,2009,70.0,"Horror,Thriller,Mystery", English,20000000.0,78769428.0,58769428.0,26624311.890256695,104859090.92445594,78234779.03419924
Casper,1995,63.0,"Fantasy,Comedy,Family", English,55000000.0,282300000.0,227300000.0,103069061.67979003,529025383.8582677,425956322.1784777
Facing the Giants,2006,75.0,Drama, English,100000.0,10243159.0,10143159.0,141664.18650793654,14510887.870064486,14369223.68355655
Nymphomaniac: Vol. II,2013,68.0,"Drama,Mystery", English,52600004.0,4934725.0,-47665279.0,64485283.302841306,6049755.046532193,-58435528.25630911
The Boy in the Striped Pyjamas,2008,78.0,"War,Drama,History", English,12500000.0,44083403.0,31583403.0,16580992.833355784,58475727.13703479,41894734.303679004
Rise of the Guardians,2012,74.0,"Family,Animation,Fantasy,Action,Adventure", English,145000000.0,306941670.0,161941670.0,180367409.42707562,381808785.26289886,201441375.83582324
Warcraft,2016,64.0,"Action,Adventure,Fantasy", English,160000000.0,438899824.0,278899824.0,190391113.5925202,522266414.04325706,331875300.4507369
Matilda,1996,71.0,"Comedy,Family,Fantasy", English,25000000.0,9755282.0,-15244718.0,45505895.474824734,17756913.720777567,-27748981.754047167
Captain America: The First Avenger,2011,70.0,"Action,Adventure,Science Fiction", English,140000000.0,370569776.0,230569776.0,177751746.02892342,470495890.7824788,292744144.7535554
Hellboy,2019,55.0,"Fantasy,Horror,Action,Adventure", English,60000000.0,99823958.0,39823958.0,67026132.669944495,111513564.20911612,44487431.53917162
The Incredible Hulk,2008,62.0,"Science Fiction,Action,Adventure", English,137500000.0,265573859.0,128073859.0,182390921.16691363,352278260.2244512,169887339.05753753
Pokémon Detective Pikachu,2019,70.0,"Action,Adventure,Fantasy", English,150000000.0,449762638.0,299762638.0,167565331.67486125,502430837.409537,334865505.73467577
Mission: Impossible - Ghost Protocol,2011,71.0,"Action,Thriller,Adventure", English,145000000.0,694713380.0,549713380.0,184100022.67281353,882046544.8903925,697946522.217579
Knives Out,2019,79.0,"Comedy,Crime,Mystery", English,40000000.0,312898746.0,272898746.0,44684088.446629666,349539881.0275878,304855792.58095807
Tinker Bell and the Pirate Fairy,2014,69.0,"Animation,Family", English,53620000.0,20300000.0,-33320000.0,64686418.2042444,24489636.134766158,-40196782.06947824
How the Grinch Stole Christmas,2000,67.0,"Family,Comedy,Fantasy", English,123000000.0,345445403.0,222445403.0,203996428.57142863,572923808.767625,368927380.1961964
Vivarium,2019,61.0,"Science Fiction,Thriller,Mystery,Horror", English,3947600.0,487625.0,-3459975.0,4409872.688797882,544726.9657196947,-3865145.7230781866
Battle: Los Angeles,2011,57.0,"Science Fiction,Action", English,70000000.0,213463976.0,143463976.0,88875873.01446171,271025674.6305443,182149801.61608258
Let There Be Light,2017,62.0,Drama, English,3000000.0,7241309.0,4241309.0,3495369.6148825064,8437017.150191743,4941647.5353092365
Barbie in The 12 Dancing Princesses,2006,77.0,"Animation,Family", English,116800000.0,727651724.0,610851724.0,165463769.84126988,1030821895.4155755,865358125.5743057
The Purge: Anarchy,2014,67.0,"Horror,Thriller", English,9000000.0,111534881.0,102534881.0,10857474.148418494,134554120.78938144,123696646.64096294
Rush Hour 2,2001,67.0,"Action,Comedy,Crime", English,90000000.0,347425832.0,257425832.0,145135798.98362508,560265841.2763411,415130042.292716
American Pie 2,2001,62.0,"Comedy,Romance", English,30000000.0,286500000.0,256500000.0,48378599.66120836,462015626.7645399,413637027.1033315
Angel Has Fallen,2019,65.0,"Action,Thriller", English,40000000.0,133345583.0,93345583.0,44684088.446629666,148960645.6184849,104276557.17185526
Addams Family Values,1993,70.0,"Comedy,Family,Fantasy", English,47000000.0,46293855.0,-706145.0,92892491.34948099,91496840.96003461,-1395650.389446367
Clash of the Titans,2010,59.0,"Adventure,Fantasy,Action", English,125000000.0,493214888.0,368214888.0,163716545.2911179,645979500.3960451,482262955.10492724
Aquaman,2018,69.0,"Action,Adventure,Fantasy", English,160000000.0,1143758700.0,983758700.0,181975014.63519537,1300846913.5727003,1118871898.9375048
The Young Messiah,2016,65.0,"Drama,History", English,16800000.0,7313697.0,-9486303.0,19991066.927214622,8702893.226926714,-11288173.700287908
Wonder Woman,2017,72.0,"Action,Adventure,Fantasy", English,150000000.0,817691766.0,667691766.0,174768480.74412534,952711651.0720056,777943170.3278803
Big Daddy,1999,65.0,"Comedy,Drama", English,30000000.0,228641283.0,198641283.0,51427671.06842738,391949623.1595739,340521952.0911465
Insidious,2011,69.0,"Horror,Thriller", English,1500000.0,99870886.0,98370886.0,1904482.9931670364,126801602.59968258,124897119.60651556
Rush Hour 3,2007,64.0,"Action,Comedy,Crime", English,180000000.0,256585882.0,76585882.0,247933848.4243424,353424028.75341225,105490180.32906984
Baby Driver,2017,75.0,"Action,Crime", English,34000000.0,226977991.0,192977991.0,39614188.96866841,264457324.32949167,224843135.36082327
Kong: Skull Island,2017,65.0,"Action,Adventure,Fantasy", English,185000000.0,561072059.0,376072059.0,215547792.9177546,653718075.596055,438170282.67830044
