Name,Year,Score,Genre,Language,Budget,Revenue,Profit,Budget_2024,Revenue_2024,Profit_2024
Descendants,2015,71.0,"Family,Music,Adventure,Comedy,Fantasy,TV Movie", English,124200000.0,464769609.6,340569609.6,149655505.72321817,560026819.399925,410371313.6767068
Home Alone 2: Lost in New York,1992,67.0,"Comedy,Family,Adventure", English,20000000.0,358994850.0,338994850.0,40712045.616536,730770735.4650749,690058689.8485389
Scouts Guide to the Zombie Apocalypse,2015,65.0,"Comedy,Horror", English,15000000.0,15554855.0,554855.0,18074336.440002196,18742912.16969669,668575.7296944945
Five Feet Apart,2019,83.0,"Romance,Drama", English,7000000.0,92554209.0,85554209.0,7819715.478160191,103392511.52659619,95572796.04843599
Carriers,2009,61.0,"Action,Drama,Horror,Science Fiction,Thriller", English,10880000.0,5802422.0,-5077578.0,14483625.668299641,7724274.652344352,-6759351.015955291
The Town,2010,72.0,"Crime,Drama,Thriller", English,37000000.0,152566881.0,115566881.0,48460097.4061709,199821781.46528876,151361684.05911785
Troy,2004,71.0,"Adventure,History,War,Action", English,150000000.0,483152040.0,333152040.0,226782689.25357333,730470126.3303336,503687437.07676023
The Iron Giant,2000,79.0,"Family,Animation,Science Fiction,Drama", English,50000000.0,31333917.0,-18666083.0,82925377.46806042,51967537.8955575,-30957839.57250291
Ready or Not,2019,71.0,"Comedy,Horror,Thriller", English,6000000.0,56785851.0,50785851.0,6702613.266994449,63435599.71502834,56732986.44803389
Love & Other Drugs,2010,70.0,"Drama,Comedy,Romance", English,30000000.0,102820008.0,72820008.0,39291970.86986829,134666691.97252083,95374721.10265253
Hotel Transylvania,2012,70.0,"Animation,Comedy,Family,Fantasy", English,85000000.0,378119469.0,293119469.0,105732619.3193202,470347786.7411823,364615167.4218621
Alice Through the Looking Glass,2016,66.0,"Adventure,Family,Fantasy", English,170000000.0,276928112.0,106928112.0,202290558.19205272,329529072.6797135,127238514.48766078
Barbie: A Fashion Fairytale,2010,72.0,"Family,Animation", English,139000000.0,306818621.4,167818621.39999998,182052798.3637231,401850277.8127316,219797479.4490085
Descendants 3,2019,78.0,"Family,TV Movie,Music,Adventure,Fantasy", English,15000000.0,199354366.4,184354366.4,16756533.167486124,222699203.51098543,205942670.3434993
Jupiter Ascending,2015,54.0,"Science Fiction,Fantasy,Action", English,179000000.0,181982519.0,2982519.0,215687081.51735952,219280884.9736728,3593803.4563132604
Django Unchained,2013,82.0,"Drama,Western", English,100000000.0,449841566.0,349841566.0,122595586.30991986,551485905.3034252,428890318.9935053
300: Rise of an Empire,2014,61.0,"Action,Drama,War", English,110000000.0,330780051.0,220780051.0,132702461.81400381,399048428.0605612,266345966.24655738
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,64.0,"Adventure,Family,Fantasy", English,155000000.0,415686217.0,260686217.0,203008516.16098619,544437690.9789917,341429174.8180055
Undisputed II: Last Man Standing,2007,73.0,"Action,Crime,Thriller", English,73800000.0,720313179.4,646513179.4,101652877.85398038,992166770.2189763,890513892.364996
Mean Girls,2004,72.0,Comedy, English,18000000.0,130714469.0,112714469.0,27213922.7104288,197625192.02781898,170411269.31739017
Sicario: Day of the Soldado,2018,69.0,"Action,Crime,Drama,Thriller", English,35000000.0,76346094.0,41346094.0,39807034.451448984,86831759.8311875,47024725.37973852
Colombiana,2011,66.0,"Action,Thriller,Crime,Drama", English,40000000.0,72295262.0,32295262.0,50786213.151120976,91790064.64370342,41003851.49258243
The Book of Esther,2013,63.0,Drama, English,87000000.0,416389640.0,329389640.0,106658160.08963029,510475320.4917646,403817160.40213436
Underworld: Blood Wars,2016,58.0,"Fantasy,Action,Thriller,Horror", English,35000000.0,81209222.0,46209222.0,41648056.0983638,96634463.8160137,54986407.7176499
Jeepers Creepers 3,2017,49.0,"Horror,Mystery,Thriller", English,6200000.0,3600000.0,-2600000.0,7223763.87075718,4194443.537859008,-3029320.3328981725
The Expendables 3,2014,62.0,"Action,Adventure,Thriller", English,100000000.0,209461378.0,109461378.0,120638601.64909437,252691277.41412377,132052675.76502942
Kama Sutra: A Tale of Love,1997,57.0,"Drama,History,Romance", English,3000000.0,4109095.0,1109095.0,5338224.299065421,7311756.925389409,1973532.626323988
The Miracle Maker,2000,61.0,"Animation,Family,History", English,75400000.0,620100551.2,544700551.2,125051469.2218351,1028441445.5282465,903389976.3064114
Tinker Bell and the Lost Treasure,2009,68.0,"Animation,Family,Adventure,Fantasy", English,71180000.0,392839573.2,321659573.2,94755926.01742359,522954165.98560625,428198239.9681827
Angels & Demons,2009,67.0,"Thriller,Mystery", English,150000000.0,490875846.0,340875846.0,199682339.1769252,653461581.1648808,453779241.9879555
Barbie as Rapunzel,2017,70.0,"Animation,Family", English,165000000.0,509012026.8,344012026.8,192245328.81853786,593061724.0288267,400816395.2102889
Machine Gun Preacher,2011,67.0,"Action,Thriller,Crime", English,30000000.0,3721988.0,-26278012.0,38089659.86334073,4725641.897847861,-33364017.96549287
Dark Phoenix,2019,60.0,"Science Fiction,Action,Adventure", English,200000000.0,246356895.0,46356895.0,223420442.2331483,275205832.14042646,51785389.90727811
The Purge: Election Year,2016,64.0,"Action,Horror,Thriller", English,10000000.0,118514727.0,108514727.0,11899444.599532513,141025942.81652203,129126498.2169895
Pain & Gain,2013,62.0,"Action,Crime,Comedy", English,26000000.0,81275291.0,55275291.0,31874852.440579165,99639919.52654353,67765067.08596437
I Am Number Four,2011,62.0,"Action,Thriller,Science Fiction,Adventure", English,50000000.0,149878437.0,99878437.0,63482766.438901216,190293956.20597142,126811189.76707019
GoodFellas,1990,85.0,"Drama,Crime", English,25000000.0,46835000.0,21835000.0,54627964.80489672,102340029.26549353,47712064.4605968
Journey to the Center of the Earth,2008,61.0,"Action,Science Fiction,Adventure,Comedy,Family", English,45000000.0,243180937.0,198180937.0,59691574.20008083,322574509.88845956,262882935.68837872
Terminator: Dark Fate,2019,65.0,"Science Fiction,Action", English,185000000.0,250367666.0,65367666.0,206663909.0656622,279686273.2930059,73022364.22734366
Hansel & Gretel: Witch Hunters,2013,60.0,"Fantasy,Horror,Action", English,50000000.0,214949716.0,164949716.0,61297793.15495993,263518864.60170764,202221071.4467477
Mission: Impossible - Rogue Nation,2015,72.0,"Action,Adventure", English,150000000.0,682716636.0,532716636.0,180743364.40002194,822643344.8167009,641899980.416679
Den of Thieves,2018,68.0,"Action,Thriller,Crime", English,30000000.0,80147166.0,50147166.0,34120315.24409913,91154885.66137145,57034570.41727232
Home,2015,68.0,"Fantasy,Comedy,Animation,Science Fiction,Family", English,130000000.0,385997896.0,255997896.0,156644249.1466857,465110389.16246516,308466140.0157795
The SpongeBob Movie: Sponge Out of Water,2015,60.0,"Family,Adventure,Comedy,Fantasy,Animation", English,74000000.0,311013181.0,237013181.0,89166726.43734416,374757124.71128654,285590398.2739424
The Grinch,2018,68.0,"Animation,Family,Comedy,Fantasy", English,75000000.0,508575295.0,433575295.0,85300788.11024782,578424979.6920238,493124191.5817759
TRON: Legacy,2010,64.0,"Adventure,Action,Science Fiction", English,170000000.0,400062763.0,230062763.0,222654501.59592035,523975147.66383415,301320646.0679138
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,70.0,Comedy, English,3800000.0,20109115.0,16309115.0,6916896.112173359,36603331.411249205,29686435.299075846
Heat,1996,79.0,"Action,Crime,Drama,Thriller", English,60000000.0,187436818.0,127436818.0,109214149.13957936,341179209.92166984,231965060.7820905
Hereditary,2018,73.0,"Horror,Mystery,Thriller", English,10000000.0,81263489.0,71263489.0,11373438.41469971,92424528.75051273,81051090.33581303
Jumanji: Welcome to the Jungle,2017,68.0,"Adventure,Action,Comedy,Fantasy", English,90000000.0,961632807.0,871632807.0,104861088.4464752,1120420698.0873246,1015559609.6408495
Glass,2019,67.0,"Thriller,Drama,Science Fiction", English,20000000.0,246999039.0,226999039.0,22342044.223314833,275923172.62271327,253581128.39939842
The Messenger: The Story of Joan of Arc,1999,64.0,"Adventure,Drama,Action,History,War", English,50000000.0,14271297.0,-35728703.0,85712785.11404563,24464652.261194482,-61248132.85285115
The Book of Life,2014,75.0,"Animation,Adventure,Comedy,Family,Fantasy", English,50000000.0,97651543.0,47651543.0,60319300.82454719,117805455.96396409,57486155.13941691
Sex Tape,2014,54.0,Comedy, English,40000000.0,126069509.0,86069509.0,48255440.65963775,152088492.76347917,103833052.10384142
Gone Girl,2014,79.0,"Mystery,Thriller,Drama", English,61000000.0,367160781.0,306160781.0,73589547.00594756,442937632.00229377,369348084.9963462
Do You Believe?,2015,66.0,"Fantasy,Drama", English,2300000.0,14628921.0,12328921.0,2771398.25413367,17627202.66054756,14855804.406413887
The Mask,1994,69.0,"Romance,Comedy,Crime,Fantasy", English,18000000.0,351620129.0,333620129.0,34687651.821862355,677604256.0172403,642916604.195378
How to Train Your Dragon: Homecoming,2019,81.0,"Animation,Fantasy,Adventure,Action,Family", English,203000000.0,667583138.8,464583138.7999999,226771748.86664554,745758600.4904461,518986851.6238005
Bound by Honor,1993,81.0,"Crime,Action,Drama,Thriller", English,35000000.0,4496583.0,-30503417.0,69175259.51557094,8887208.455951558,-60288051.05961938
Olympus Has Fallen,2013,64.0,"Action,Thriller", English,70000000.0,172878928.0,102878928.0,85816910.41694391,211941935.38790423,126125024.97096032
Good Will Hunting,1998,81.0,Drama, English,10000000.0,225925989.0,215925989.0,17521165.64417178,395848667.65923315,378327502.0150614
A Walk to Remember,2002,77.0,"Drama,Romance", English,11000000.0,46060861.0,35060861.0,17462729.294052254,73122576.972179,55659847.678126745
Sex and the City,2008,66.0,"Comedy,Drama,Romance", English,57500000.0,415247258.0,357747258.0,76272567.03343661,550816944.7174913,474544377.6840546
I Spit on Your Grave,2010,65.0,"Thriller,Crime,Horror", English,1750000.0,1278471.0,-471529.0,2292031.6340756505,1674454.8429990464,-617576.7910766043
Godzilla,2014,63.0,"Action,Drama,Science Fiction", English,160000000.0,529076069.0,369076069.0,193021762.638551,638269971.3015977,445248208.66304666
Ghost Rider: Spirit of Vengeance,2012,50.0,"Action,Fantasy,Thriller", English,57000000.0,149217355.0,92217355.0,70903050.60236767,185613432.84765717,114710382.24528952
Mission: Impossible,1996,70.0,"Adventure,Action,Thriller", English,80000000.0,457697994.0,377697994.0,145618865.51943913,833118282.9600383,687499417.4405991
Aliens vs Predator: Requiem,2007,51.0,"Fantasy,Action,Science Fiction,Thriller,Horror", English,40000000.0,130290885.0,90290885.0,55096410.760964975,179464002.95924124,124367592.19827627
Se7en,1995,84.0,"Crime,Mystery,Thriller", English,30000000.0,328125643.0,298125643.0,56219488.18897638,614901857.0379593,558682368.8489829
The Human Centipede (First Sequence),2010,52.0,Horror, English,2011799.0,252207.0,-1759592.0,2634918.2568010055,330323.6699058958,-2304594.5868951096
Underworld: Awakening,2012,63.0,"Fantasy,Action,Horror", English,70000000.0,160379930.0,90379930.0,87073921.79238135,199498706.88410848,112424785.09172715
Mission: Impossible - Fallout,2018,74.0,"Action,Adventure", English,178000000.0,791657398.0,613657398.0,202447203.78165483,900386666.1694418,697939462.3877869
Tangled Ever After,2012,71.0,"Animation,Comedy,Action,Family", English,87000000.0,591465525.2,504465525.2000001,108220445.65624538,735731755.4879223,627511309.831677
Megamind,2010,69.0,"Animation,Action,Comedy,Family,Science Fiction", English,130000000.0,321887208.0,191887208.0,170265207.1027626,421586093.33730793,251320886.2345453
The Last Samurai,2004,76.0,"Drama,Action,War", English,140000000.0,456810575.0,316810575.0,211663843.3033351,690644871.1864743,478981027.88313925
The Last of Us - No Escape,2017,53.0,"Action,Horror", English,116000000.0,237808574.8,121808574.8,135154291.77545694,277076288.8381446,141921997.06268767
The Longest Yard,2005,66.0,Comedy, English,82000000.0,191558505.0,109558505.0,119911879.16026627,280123662.2400154,160211783.0797491
Battleship,2012,58.0,"Thriller,Action,Adventure,Science Fiction", English,220000000.0,313477717.0,93477717.0,273660897.0617699,389939060.1958893,116278163.13411936
Forever My Girl,2018,76.0,"Romance,Drama,Music", English,3500000.0,16376066.0,12876066.0,3980703.4451448987,18625217.812605783,14644514.367460884
Ford v Ferrari,2019,80.0,"Drama,Action,History", English,97600000.0,225508210.0,127908210.0,109029175.80977638,251915720.0270284,142886544.21725202
The Jungle Book,2016,69.0,"Family,Adventure,Drama,Fantasy", English,175000000.0,953535821.0,778535821.0,208240280.491819,1134654667.5659251,926414387.0741062
Final Destination 5,2011,61.0,"Horror,Mystery", English,40000000.0,155011165.0,115011165.0,50786213.151120976,196810751.66233957,146024538.5112186
Friends with Benefits,2011,67.0,"Romance,Comedy", English,35000000.0,146595891.0,111595891.0,44437936.507230856,186126254.18511242,141688317.67788157
The Road to El Dorado,2000,72.0,"Family,Adventure,Animation,Comedy,Fantasy", English,95000000.0,65700000.0,-29300000.0,157558217.18931478,108963945.99303138,-48594271.1962834
Sky High,2005,62.0,"Adventure,Comedy,Family", English,35000000.0,83109359.0,48109359.0,51181899.641577065,121534139.18896571,70352239.54738864
Stuart Little,2000,60.0,"Family,Fantasy,Comedy,Adventure", English,105000000.0,298815224.0,193815224.0,174143292.68292686,495587304.8680605,321444012.18513364
The Age of Adaline,2015,75.0,"Romance,Fantasy,Drama", English,30000000.0,68984536.0,38984536.0,36148672.88000439,83123314.18809623,46974641.30809183
The Kissing Booth,2018,72.0,"Romance,Comedy", English,91200000.0,226316080.4,135116080.4,103725758.34206136,257399200.26856282,153673441.92650145
Need for Speed,2014,64.0,"Action,Crime,Drama,Thriller", English,66000000.0,194169619.0,128169619.0,79621477.08840229,234243513.18897426,154622036.10057196
The Fifth Element,1997,75.0,"Adventure,Fantasy,Action,Thriller,Science Fiction", English,95000000.0,263892820.0,168892820.0,169043769.470405,469573021.35763246,300529251.8872275
Indiana Jones and the Kingdom of the Crystal Skull,2008,60.0,"Adventure,Action", English,185000000.0,786635413.0,601635413.0,245398693.9336656,1043455691.6333494,798056997.6996838
The Ultimate Gift,2007,76.0,"Romance,Drama,Family", English,9000000.0,3438735.0,-5561265.0,12396692.42121712,4736548.901452672,-7660143.519764447
Hotel Transylvania 2,2015,68.0,"Animation,Comedy,Family,Fantasy", English,80000000.0,469747882.0,389747882.0,96396461.01334505,566025417.4164301,469628956.40308505
Final Destination,2000,66.0,Horror, English,23000000.0,112036870.0,89036870.0,38145673.63530779,185813994.7018003,147668321.06649247
Selena,1997,77.0,"Drama,Music,History", English,20000000.0,35782828.0,15782828.0,35588161.993769474,63672253.97295951,28084091.979190037
Ferdinand,2018,72.0,"Animation,Family,Adventure,Comedy", English,111000000.0,288510892.0,177510892.0,126245166.40316679,328136086.21320796,201890919.81004116
The Revenant,2016,75.0,"Western,Drama,Adventure", English,135000000.0,532938302.0,397938302.0,160642502.09368894,634166979.9617928,473524477.86810386
Perfume: The Story of a Murderer,2007,73.0,"Crime,Fantasy,Drama", English,63700000.0,133603463.0,69903463.0,87741034.13683672,184026781.91338465,96285747.77654792
Mulan II,2004,65.0,"Animation,Comedy,Family,Action", English,86140000.0,577554056.4,491414056.4,130233739.01535204,873195080.6646798,742961341.6493278
Ex Machina,2015,76.0,"Drama,Science Fiction", English,13000000.0,38298841.0,25298841.0,15664424.91466857,46148409.16641001,30483984.25174144
(500) Days of Summer,2009,73.0,"Comedy,Drama,Romance", English,7500000.0,34515303.0,27015303.0,9984116.958846262,45947309.60293563,35963192.64408937
Green Lantern,2011,52.0,"Adventure,Action,Thriller,Science Fiction", English,200000000.0,219535492.0,19535492.0,253931065.75560486,278734407.2737053,24803341.518100463
Ocean's Eight,2018,70.0,"Crime,Comedy,Action", English,70000000.0,297718711.0,227718711.0,79614068.90289797,338608542.44622815,258994473.54333013
I Can Only Imagine,2018,75.0,"Music,Drama", English,7000000.0,85783567.0,78783567.0,7961406.890289797,97565411.62677664,89604004.73648684
Legend,2015,70.0,"Crime,Thriller", English,25000000.0,23506237.0,-1493763.0,30123894.066670325,28323975.731761858,-1799918.3349084666
The Purge,2013,63.0,"Science Fiction,Horror,Thriller", English,3000000.0,91266581.0,88266581.0,3677867.589297596,111888800.08196793,108210932.49267033
Gifted Hands: The Ben Carson Story,2009,78.0,Drama, English,101400000.0,569937260.2,468537260.2000001,134985261.28360143,758709368.6721593,623724107.3885579
Bride of Chucky,1998,60.0,"Comedy,Horror", English,25000000.0,50692188.0,25692188.0,43802914.11042945,88818622.2813497,45015708.17092025
Men in Black,1997,72.0,"Action,Adventure,Comedy,Science Fiction", English,90000000.0,587790539.0,497790539.0,160146728.97196263,1045919246.0168537,885772517.0448911
The Texas Chainsaw Massacre,2003,62.0,Horror, English,9000000.0,107967319.0,98967319.0,13969320.652173914,167581122.11850545,153611801.46633154
Armageddon,1998,68.0,"Action,Thriller,Science Fiction,Adventure", English,140000000.0,554600000.0,414600000.0,245296319.01840493,971723846.625767,726427527.607362
The Cokeville Miracle,2015,67.0,"Mystery,Drama,History,Family,Thriller", English,156000000.0,562387704.0,406387704.0,187973098.97602284,677652304.7877579,489679205.8117351
Warrior,2011,78.0,"Drama,Action", English,25000000.0,24215385.0,-784615.0,31741383.219450608,30745192.60366144,-996190.6157891696
Guardians of the Galaxy,2014,79.0,"Action,Science Fiction,Adventure", English,170000000.0,770882395.0,600882395.0,205085622.80346042,929981741.6870482,724896118.8835877
The Mummy: Tomb of the Dragon Emperor,2008,55.0,"Adventure,Action,Fantasy", English,175000000.0,405760225.0,230760225.0,232133899.66698098,538232590.6228664,306098690.95588547
Riddick,2013,63.0,"Science Fiction,Action,Thriller", English,38000000.0,94763758.0,56763758.0,46586322.79776955,116176184.7294136,69589861.93164404
The Magnificent Seven,2016,64.0,"Adventure,Action,Western", English,90000000.0,162122642.0,72122642.0,107095001.39579262,192916939.6808843,85821938.28509168
Jennifer's Body,2010,59.0,"Horror,Comedy", English,16000000.0,31943401.0,15943401.0,20955717.79726309,41837306.052550726,20881588.255287636
Tears of the Sun,2003,68.0,"War,Action,Drama", English,75000000.0,85632458.0,10632458.0,116411005.43478261,132914140.44842392,16503135.013641305
Pocahontas,1995,69.0,"Adventure,Animation,Family,Romance", English,55000000.0,347100000.0,292100000.0,103069061.67979003,650459478.3464568,547390416.6666667
Hachi: A Dog's Tale,2010,80.0,"Drama,Family", English,16000000.0,46749646.0,30749646.0,20955717.79726309,61229524.29362183,40273806.49635874
Despicable Me 3,2017,64.0,"Action,Animation,Comedy,Family,Adventure", English,75000000.0,1032809657.0,957809657.0,87384240.37206267,1203350497.6783412,1115966257.3062787
Prince of Persia: The Sands of Time,2010,63.0,"Adventure,Fantasy,Action", English,200000000.0,336365676.0,136365676.0,261946472.46578863,440549011.4338519,178602538.96806327
The Human Centipede 2 (Full Sequence),2011,48.0,"Drama,Horror,Crime", English,148800000.0,904907413.0,756107413.0,188924712.92217,1148920518.9661865,959995806.0440165
9,2009,69.0,"Action,Adventure,Animation,Science Fiction,Thriller", English,30000000.0,48559999.0,18559999.0,39936467.83538505,64643827.93832766,24707360.10294262
Arrival,2016,76.0,"Drama,Science Fiction,Mystery", English,47000000.0,202754970.0,155754970.0,55927389.61780281,241267153.27948767,185339763.66168487
Titanic II,2010,49.0,"Action,Adventure,Thriller", English,96200000.0,747112636.6,650912636.6,125996253.25604433,978517598.4599233,852521345.203879
Treasure Planet,2002,75.0,"Adventure,Animation,Family,Fantasy,Science Fiction", English,100000000.0,91800000.0,-8200000.0,158752084.49138412,145734413.56309062,-13017670.928293498
Now You See Me,2013,73.0,"Thriller,Crime", English,75000000.0,342769200.0,267769200.0,91946689.7324399,420219910.42982185,328273220.697382
Predator 2,1991,62.0,"Science Fiction,Action,Thriller", English,35000000.0,54768418.0,19768418.0,73390785.60939796,114842777.81725405,41451992.207856104
The Secret Life of Pets 2,2019,70.0,"Adventure,Animation,Comedy,Family", English,80000000.0,446109716.0,366109716.0,89368176.89325933,498350150.166121,408981973.27286166
The Cat in the Hat,2004,53.0,"Comedy,Adventure,Family,Fantasy", English,109000000.0,133800000.0,24800000.0,164795420.85759664,202290158.8141874,37494737.956590794
Bohemian Rhapsody,2018,80.0,"Music,Drama,History", English,55000000.0,882205260.0,827205260.0,62553911.280848406,1003370719.3734145,940816808.0925661
Thir13en Ghosts,2001,62.0,"Horror,Thriller", English,42000000.0,68467960.0,26467960.0,67730039.5256917,110412800.88198759,42682761.35629588
Eternal Sunshine of the Spotless Mind,2004,81.0,"Science Fiction,Drama,Romance", English,20000000.0,72401378.0,52401378.0,30237691.900476445,109462528.05669667,79224836.15622023
Zombieland,2009,73.0,"Comedy,Horror", English,23600000.0,102236596.0,78636596.0,31416688.0305029,136098950.9251085,104682262.8946056
The Hills Have Eyes,2006,64.0,"Horror,Thriller", English,17000000.0,70355813.0,53355813.0,24082911.70634921,99668990.14749506,75586078.44114584
Resident Evil: Damnation,2012,69.0,"Animation,Horror,Action", English,7600000.0,2325035.0,-5274965.0,9453740.080315689,2892141.653636419,-6561598.426679269
Friday,1995,71.0,Comedy, English,3500000.0,27936778.0,24436778.0,6558940.288713912,52353045.36030184,45794105.07158793
Woodlawn,2015,70.0,Drama, English,13000000.0,14403891.0,1403891.0,15664424.91466857,17356051.465274643,1691626.5506060747
The Mortal Instruments: City of Bones,2013,64.0,"Fantasy,Action,Mystery", English,60000000.0,75965567.0,15965567.0,73557351.78595193,93130432.25730501,19573080.471353084
Public Enemies,2009,67.0,"Action,Crime", English,102500000.0,212282709.0,109782709.0,136449598.43756557,282594052.6662301,146144454.22866455
Finding Dory,2016,70.0,"Adventure,Animation,Comedy,Family", English,200000000.0,1025006125.0,825006125.0,237988891.99065027,1219700359.8618999,981711467.8712496
Jumper,2008,61.0,"Action,Adventure,Science Fiction", English,82500000.0,222640812.0,140140812.0,109434552.70014818,295328456.654761,185893903.95461282
Wrath of the Titans,2012,57.0,"Fantasy,Adventure", English,150000000.0,305270083.0,155270083.0,186586975.2693886,379729476.181368,193142500.91197944
Schindler's List,1994,86.0,"Drama,History,War", English,22000000.0,321365567.0,299365567.0,42396018.89338732,619300938.6461877,576904919.7528003
Celebrity Sex Tape,2012,45.0,Comedy, English,74600000.0,408033203.6,333433203.6,92795922.36730926,507557875.12801737,414761952.7607081
Chicken Run,2000,67.0,"Animation,Comedy,Family", English,42000000.0,227793915.0,185793915.0,69657317.07317075,377797927.72604537,308140610.65287465
Season of the Witch,2011,54.0,"Adventure,Fantasy,Action", English,40000000.0,91126600.0,51126600.0,50786213.151120976,115699373.28342351,64913160.13230254
Ghostbusters,2016,54.0,"Action,Fantasy,Comedy", English,144000000.0,229008658.0,85008658.0,171352002.2332682,272507583.8684288,101155581.63516064
Independence Day,1996,69.0,"Action,Adventure,Science Fiction", English,75000000.0,817400878.0,742400878.0,136517686.42447418,1487862356.6119184,1351344670.1874442
The Butterfly Effect,2004,75.0,"Science Fiction,Thriller", English,13000000.0,95638592.0,82638592.0,19654499.73530969,144594513.93456855,124940014.19925888
The Prestige,2006,82.0,"Drama,Mystery,Science Fiction", English,40000000.0,104407366.0,64407366.0,56665674.60317461,147907845.6982639,91242171.0950893
Batman Begins,2005,77.0,"Action,Crime,Drama", English,150000000.0,358858124.0,208858124.0,219350998.46390173,524772585.3752177,305421586.911316
The Addams Family,1991,70.0,"Comedy,Fantasy", English,30000000.0,191502243.0,161502243.0,62906387.66519825,401557144.5637666,338650756.89856833
Insurgent,2015,64.0,"Action,Adventure,Science Fiction,Thriller", English,110000000.0,295238201.0,185238201.0,132545133.89334944,355748971.6543328,223203837.7609834
13 Hours: The Secret Soldiers of Benghazi,2016,73.0,"War,Action,History,Drama", English,50000000.0,69411370.0,19411370.0,59497222.99766257,82595675.18926531,23098452.191602744
90 Minutes in Heaven,2015,61.0,Drama, English,5000000.0,4816142.0,-183858.0,6024778.8133340655,5803238.056721671,-221540.7566123949
White House Down,2013,64.0,"Action,Drama,Thriller", English,150000000.0,205440387.0,55440387.0,183893379.4648798,251860846.9600184,67967467.4951386
Chicken Little,2006,59.0,"Animation,Family,Comedy", English,150000000.0,310043823.0,160043823.0,212496279.7619048,439221059.6710566,226724779.90915182
Wildflower,2016,52.0,"Thriller,Drama", English,81400000.0,393750045.8,312350045.8,96861479.04019466,468540685.606049,371679206.5658544
G.I. Joe: Retaliation,2013,56.0,"Science Fiction,Adventure,Action,Thriller", English,140000000.0,375740705.0,235740705.0,171633820.83388782,460641520.2997764,289007699.46588856
Pearl Harbor,2001,69.0,"Action,War,History,Romance,Drama", English,151500000.0,449239853.0,297739853.0,244311928.28910223,724453166.6715698,480141238.3824676
The Pianist,2002,84.0,"Drama,War", English,35000000.0,111854182.0,76854182.0,55563229.57198444,177570845.51578656,122007615.94380212
A Dog's Journey,2019,80.0,"Family,Adventure,Drama", English,20610000.0,2520000.0,-18090000.0,23023476.572125934,2815097.5721376687,-20208378.999988265
Piranha 3D,2010,54.0,"Comedy,Horror", English,24000000.0,83660160.0,59660160.0,31433576.695894636,109572418.98961736,78138842.29372272
Watchmen,2009,73.0,"Action,Mystery,Science Fiction", English,138000000.0,186976250.0,48976250.0,183707752.0427712,248905699.80353042,65197947.76075923
Nightcrawler,2014,77.0,"Crime,Drama,Thriller", English,8500000.0,50334418.0,41834418.0,10254281.140173022,60722738.02341005,50468456.883237034
Never Back Down: No Surrender,2016,70.0,"Drama,Action", English,129000000.0,591454740.2,462454740.2000001,153502835.3339694,703798291.4140797,550295456.0801103
Divergent,2014,69.0,"Action,Adventure,Science Fiction", English,85000000.0,276014965.0,191014965.0,102542811.40173021,332980594.11823726,230437782.71650702
Final Destination 2,2003,62.0,"Horror,Mystery", English,26000000.0,90396664.0,64396664.0,40355815.217391305,140308887.25586957,99953072.03847827
Barbie of Swan Lake,2003,70.0,"Animation,Family", English,165000000.0,509012026.8,344012026.8,256104211.95652175,790061357.5757935,533957145.6192718
Nacho Libre,2006,63.0,"Comedy,Family", English,32000000.0,99296462.0,67296462.0,45332539.68253969,140667525.12346232,95334985.44092263
Jack Reacher: Never Go Back,2016,59.0,"Action,Thriller", English,60000000.0,159946489.0,99946489.0,71396667.59719509,190327438.47452366,118930770.87732857
Jojo Rabbit,2019,81.0,"Comedy,War,Drama", English,14000000.0,86878073.0,72878073.0,15639430.956320383,97051687.45011872,81412256.49379833
Courageous,2011,75.0,Drama, English,2000000.0,35680886.0,33680886.0,2539310.6575560486,45302427.045421205,42763116.387865156
The 5th Wave,2016,59.0,"Science Fiction,Adventure,Action", English,38000000.0,111336398.0,73336398.0,45217889.478223555,132484129.99125026,87266240.5130267
The Lorax,2012,65.0,"Animation,Family", English,70000000.0,348840316.0,278840316.0,87073921.79238135,433927062.76305133,346853140.97067
Insidious: Chapter 2,2013,67.0,"Horror,Thriller", English,5000000.0,161000000.0,156000000.0,6129779.315495993,197378893.958971,191249114.643475
Zombieland: Double Tap,2019,70.0,"Comedy,Horror", English,48000000.0,125213018.0,77213018.0,53620906.135955594,139875739.2745358,86254833.1385802
House of Wax,2005,59.0,"Horror,Thriller", English,35000000.0,70064800.0,35064800.0,51181899.641577065,102458558.91449054,51276659.27291347
Terminator 3: Rise of the Machines,2003,61.0,"Action,Thriller,Science Fiction", English,170000000.0,433058296.0,263058296.0,263864945.65217394,672170021.9897827,408305076.3376087
Drive,2011,76.0,"Drama,Thriller,Crime", English,15000000.0,81357930.0,66357930.0,19044829.931670364,103296529.36284949,84251699.43117912
Insidious: The Last Key,2018,62.0,"Horror,Mystery,Thriller", English,10000000.0,172811971.0,162811971.0,11373438.41469971,196546630.94913724,185173192.5344375
The Host,2013,63.0,"Action,Adventure,Romance,Science Fiction,Thriller", English,50000000.0,64477051.0,14477051.0,61297793.15495993,79046018.70879605,17748225.55383612
Van Helsing,2004,63.0,"Horror,Adventure,Action", English,170000000.0,300150546.0,130150546.0,257020381.15404978,453792986.6853891,196772605.53133935
