Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Thriller,Animation,Adventure,Music,Comedy,History,Drama,Romance,Documentary,Mystery,Family,Fantasy,Action,Science Fiction,War,Horror,TV Movie,Western,Crime
Toy Story,1995,80.0,"Animation,Adventure,Family,Comedy",4,English,30000000.0,365270951.0,335270951.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joseph,1995,82.0,"Drama,History",2,English,143260000.0,865531384.0,722271384.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Titanic,1997,79.0,"Drama,Romance",2,English,200000000.0,2222985568.0,2022985568.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 1,2014,68.0,"Science Fiction,Adventure,Thriller",3,English,125000000.0,766575131.0,641575131.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Autopsy of Jane Doe,2016,67.0,"Horror,Mystery",2,English,24570496.6,5972942.0,-18597554.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Son of God,2014,69.0,Drama,1,English,22000000.0,70949793.0,48949793.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,2015,73.0,"Action,Adventure,Science Fiction",3,English,365000000.0,1395316979.0,1030316979.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Me Before You,2016,79.0,"Drama,Romance",2,English,20000000.0,208064908.0,188064908.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,2006,73.0,"Adventure,Fantasy,Action",3,English,200000000.0,1065659812.0,865659812.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ice Age,2002,73.0,"Animation,Comedy,Family,Adventure",4,English,65000000.0,386116343.0,321116343.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Little Mermaid,1990,73.0,"Animation,Family,Fantasy",3,English,40000000.0,211343479.0,171343479.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Shrek Forever After,2010,63.0,"Comedy,Adventure,Fantasy,Animation,Family",5,English,165000000.0,756244673.0,591244673.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
The Princess and the Frog,2010,72.0,"Romance,Family,Animation",3,English,105000000.0,270997378.0,165997378.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Zootopia,2016,77.0,"Animation,Adventure,Family,Comedy",4,English,150000000.0,1002462578.0,852462578.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Book of Daniel,2013,73.0,"Fantasy,Drama",2,English,92600000.0,428471214.2,335871214.2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Iron Man 2,2010,68.0,"Adventure,Action,Science Fiction",3,English,170000000.0,621156389.0,451156389.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Conjuring,2013,75.0,"Horror,Thriller",2,English,20000000.0,316849722.0,296849722.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fast & Furious Presents: Hobbs & Shaw,2019,69.0,"Action,Adventure,Comedy",3,English,200000000.0,760732926.0,560732926.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Maze Runner,2014,72.0,"Action,Mystery,Science Fiction,Thriller",4,English,34000000.0,348319861.0,314319861.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,2014,73.0,"Action,Adventure,Fantasy",3,English,250000000.0,940323039.0,690323039.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mary Magdalene,2018,63.0,"Drama,History",2,English,7855689.0,11710110.0,3854421.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Pilgrim's Progress,2019,78.0,"Animation,Adventure",2,English,101000000.0,893800197.2,792800197.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thor: Ragnarok,2017,76.0,"Action,Adventure,Fantasy,Science Fiction,Comedy",5,English,180000000.0,850482778.0,670482778.0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
