Revenue,Action,Romance,Science Fiction,Thriller,Family,Crime,Documentary,Drama,Mystery,TV Movie,Music,Adventure,War,Animation,Western,Comedy,Horror,Fantasy,History
1647733638.0,0.0,0.0,0.0,0.0,1647733638.0,0.0,0.0,1647733638.0,0.0,0.0,0.0,0.0,0.0,1647733638.0,0.0,0.0,0.0,0.0,0.0
1395316979.0,1395316979.0,0.0,1395316979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395316979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208064908.0,0.0,208064908.0,0.0,0.0,0.0,0.0,0.0,208064908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065659812.0,1065659812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065659812.0,0.0,0.0,0.0,0.0,0.0,1065659812.0,0.0
386116343.0,0.0,0.0,0.0,0.0,386116343.0,0.0,0.0,0.0,0.0,0.0,0.0,386116343.0,0.0,386116343.0,0.0,386116343.0,0.0,0.0,0.0
211343479.0,0.0,0.0,0.0,0.0,211343479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211343479.0,0.0,0.0,0.0,211343479.0,0.0
756244673.0,0.0,0.0,0.0,0.0,756244673.0,0.0,0.0,0.0,0.0,0.0,0.0,756244673.0,0.0,756244673.0,0.0,756244673.0,0.0,756244673.0,0.0
270997378.0,0.0,270997378.0,0.0,0.0,270997378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270997378.0,0.0,0.0,0.0,0.0,0.0
1002462578.0,0.0,0.0,0.0,0.0,1002462578.0,0.0,0.0,0.0,0.0,0.0,0.0,1002462578.0,0.0,1002462578.0,0.0,1002462578.0,0.0,0.0,0.0
428471214.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428471214.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428471214.2,0.0
621156389.0,621156389.0,0.0,621156389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621156389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316849722.0,0.0,0.0,0.0,316849722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316849722.0,0.0,0.0
760732926.0,760732926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760732926.0,0.0,0.0,0.0,760732926.0,0.0,0.0,0.0
348319861.0,348319861.0,0.0,348319861.0,348319861.0,0.0,0.0,0.0,0.0,348319861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940323039.0,940323039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940323039.0,0.0,0.0,0.0,0.0,0.0,940323039.0,0.0
11710110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11710110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11710110.0
893800197.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893800197.2,0.0,893800197.2,0.0,0.0,0.0,0.0,0.0
850482778.0,850482778.0,0.0,850482778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850482778.0,0.0,0.0,0.0,850482778.0,0.0,850482778.0,0.0
352831065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352831065.0,0.0,0.0,0.0,352831065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518858449.0,518858449.0,0.0,518858449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518858449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138874789.0,0.0,0.0,0.0,0.0,0.0,138874789.0,0.0,0.0,138874789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138874789.0,0.0,0.0
1437862795.0,0.0,0.0,0.0,0.0,1437862795.0,0.0,0.0,0.0,0.0,0.0,0.0,1437862795.0,0.0,1437862795.0,0.0,1437862795.0,0.0,1437862795.0,0.0
807330936.0,0.0,0.0,0.0,0.0,807330936.0,0.0,0.0,0.0,0.0,0.0,0.0,807330936.0,0.0,807330936.0,0.0,807330936.0,0.0,807330936.0,0.0
626549695.0,0.0,0.0,0.0,0.0,626549695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626549695.0,0.0,626549695.0,0.0,626549695.0,0.0
781947691.0,781947691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781947691.0,0.0,0.0,0.0,781947691.0,0.0,0.0,0.0
333771037.0,0.0,0.0,0.0,0.0,333771037.0,0.0,0.0,0.0,0.0,0.0,0.0,333771037.0,0.0,333771037.0,0.0,0.0,0.0,0.0,0.0
26078500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26078500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26078500.0
263880341.0,263880341.0,0.0,263880341.0,0.0,0.0,0.0,0.0,263880341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461630558.0,0.0,0.0,0.0,0.0,461630558.0,0.0,0.0,0.0,0.0,0.0,0.0,461630558.0,0.0,461630558.0,0.0,461630558.0,0.0,0.0,0.0
554987477.0,0.0,554987477.0,0.0,0.0,554987477.0,0.0,0.0,0.0,0.0,0.0,0.0,554987477.0,0.0,554987477.0,0.0,554987477.0,0.0,554987477.0,0.0
1236703796.0,1236703796.0,0.0,0.0,1236703796.0,0.0,1236703796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343644155.0,343644155.0,0.0,0.0,0.0,0.0,0.0,0.0,343644155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69973540.0,0.0,0.0,0.0,0.0,69973540.0,0.0,0.0,0.0,0.0,0.0,0.0,69973540.0,0.0,69973540.0,0.0,0.0,0.0,0.0,0.0
647263005.0,647263005.0,0.0,0.0,0.0,647263005.0,0.0,0.0,0.0,0.0,0.0,0.0,647263005.0,0.0,647263005.0,0.0,647263005.0,0.0,0.0,0.0
15185241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15185241.0,0.0,0.0,0.0,15185241.0,0.0,0.0,0.0,0.0,0.0,15185241.0,0.0
258973331.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258973331.6,0.0,258973331.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258973331.6
850566343.0,0.0,0.0,0.0,0.0,850566343.0,0.0,0.0,850566343.0,0.0,0.0,0.0,850566343.0,0.0,850566343.0,0.0,850566343.0,0.0,0.0,0.0
210315681.0,210315681.0,0.0,0.0,0.0,0.0,0.0,0.0,210315681.0,0.0,0.0,0.0,0.0,210315681.0,0.0,0.0,0.0,0.0,0.0,0.0
78701381.8,78701381.8,0.0,0.0,78701381.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757890267.0,757890267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757890267.0,0.0,0.0,0.0,0.0,0.0,757890267.0,0.0
99010045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99010045.0,0.0,0.0
402278564.0,0.0,402278564.0,0.0,0.0,0.0,0.0,0.0,402278564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402278564.0,0.0
878271291.0,878271291.0,0.0,878271291.0,0.0,0.0,0.0,0.0,878271291.0,0.0,0.0,0.0,878271291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531861650.0,531861650.0,0.0,531861650.0,531861650.0,0.0,0.0,0.0,531861650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531861650.0,0.0,0.0
475825484.0,0.0,0.0,0.0,0.0,475825484.0,0.0,0.0,0.0,0.0,0.0,0.0,475825484.0,0.0,0.0,0.0,475825484.0,0.0,475825484.0,0.0
521533238.0,0.0,0.0,0.0,0.0,521533238.0,0.0,0.0,0.0,0.0,0.0,0.0,521533238.0,0.0,521533238.0,0.0,0.0,0.0,0.0,0.0
411002906.0,411002906.0,0.0,411002906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411002906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57926850.0,0.0,57926850.0,0.0,0.0,0.0,0.0,0.0,57926850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465487583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465487583.0,0.0,0.0,0.0
169630573.0,0.0,0.0,0.0,0.0,169630573.0,0.0,0.0,0.0,0.0,0.0,0.0,169630573.0,0.0,169630573.0,0.0,169630573.0,0.0,169630573.0,0.0
1647733638.0,0.0,0.0,0.0,0.0,1647733638.0,0.0,0.0,1647733638.0,0.0,0.0,0.0,1647733638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363391647.0,0.0,0.0,0.0,363391647.0,0.0,0.0,0.0,0.0,363391647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363391647.0,0.0,0.0
3146707.8,3146707.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3146707.8,0.0,0.0,0.0
92108518.0,0.0,0.0,0.0,0.0,92108518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92108518.0,0.0,0.0,0.0
