Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Killing Jesus,2015-03-29,65.0,"Drama,History,TV Movie", English,35580000.0,258973331.6,223393331.6
Inside Out,2015-06-09,79.0,"Animation,Family,Adventure,Drama,Comedy", English,175000000.0,850566343.0,675566343.0
Fury,2014-10-23,75.0,"War,Drama,Action", English,80000000.0,210315681.0,130315681.0
Undisputed III: Redemption,2010-06-17,76.0,"Action,Thriller", English,3000000.0,78701381.8,75701381.8
The Amazing Spider-Man,2012-07-03,67.0,"Action,Adventure,Fantasy", English,220000000.0,757890267.0,537890267.0
Evil Dead,2013-05-01,65.0,Horror, English,17000000.0,99010045.0,82010045.0
Twilight,2008-12-11,63.0,"Fantasy,Drama,Romance", English,37000000.0,402278564.0,365278564.0
Spider-Man: Homecoming,2017-07-06,74.0,"Action,Adventure,Science Fiction,Drama", English,175000000.0,878271291.0,703271291.0
World War Z,2013-06-20,68.0,"Action,Drama,Horror,Science Fiction,Thriller", English,190000000.0,531861650.0,341861650.0
Charlie and the Chocolate Factory,2005-09-01,70.0,"Adventure,Comedy,Family,Fantasy", English,150000000.0,475825484.0,325825484.0
How to Train Your Dragon: The Hidden World,2019-01-03,78.0,"Animation,Family,Adventure", English,129000000.0,521533238.0,392533238.0
Pacific Rim,2013-07-11,69.0,"Action,Science Fiction,Adventure", English,190000000.0,411002906.0,221002906.0
After,2019-07-04,72.0,"Romance,Drama", English,14000000.0,57926850.0,43926850.0
The Hangover,2009-06-11,73.0,Comedy, English,35000000.0,465487583.0,430487583.0
The Emperor's New Groove,2001-04-05,75.0,"Adventure,Animation,Comedy,Family,Fantasy", English,100000000.0,169630573.0,69630573.0
The Lion King,2019-07-17,71.0,"Adventure,Drama,Family", English,260000000.0,1647733638.0,1387733638.0
The Nun,2018-09-06,59.0,"Horror,Mystery,Thriller", English,22000000.0,363391647.0,341391647.0
Superfast!,2015-04-02,50.0,"Comedy,Action", English,20000000.0,3146707.8,-16853292.2
The Parent Trap,1998-07-29,71.0,"Comedy,Family", English,15000000.0,92108518.0,77108518.0
Furious 7,2015-04-02,72.0,"Action,Thriller,Crime", English,190000000.0,1514553486.0,1324553486.0
The Conjuring 2,2016-06-09,73.0,"Horror,Thriller", English,40000000.0,321834351.0,281834351.0
Inception,2010-07-22,84.0,"Action,Science Fiction,Adventure", English,160000000.0,728537960.0,568537960.0
Frozen,2013-12-26,72.0,"Animation,Family,Adventure,Fantasy", English,150000000.0,1256887580.0,1106887580.0
God's Not Dead: A Light in Darkness,2018-03-30,69.0,Drama, English,56400000.0,5728940.0,-50671060.0
The Prince of Egypt,1998-12-26,72.0,"Adventure,Animation,Drama,Family", English,60000000.0,218613188.0,158613188.0
It Chapter Two,2019-09-05,69.0,"Horror,Fantasy", English,79000000.0,473122525.0,394122525.0
The Lord of the Rings: The Fellowship of the Ring,2001-12-26,84.0,"Adventure,Fantasy,Action", English,93000000.0,891216824.0,798216824.0
Finding Nemo,2003-08-28,78.0,"Animation,Family", English,94000000.0,936094852.0,842094852.0
Ben-Hur,2016-08-25,57.0,"Action,History,Adventure,Drama", English,95000000.0,91669648.0,-3330352.0
Grown Ups 2,2013-09-26,61.0,Comedy, English,80000000.0,247023808.0,167023808.0
Thor,2011-04-21,68.0,"Adventure,Fantasy,Action", English,150000000.0,449326618.0,299326618.0
Captain America: Civil War,2016-04-28,74.0,"Adventure,Action,Science Fiction", English,250000000.0,1151899586.0,901899586.0
Dungeons & Dragons: Wrath of the Dragon God,2005-10-08,43.0,"Action,Adventure,Fantasy,TV Movie", English,102300000.0,633555866.2,531255866.20000005
