Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Throne of Elves,2016-07-31,75.0,"Fantasy,Animation,Family", Chinese,9037504.6,3916195.0,-5121309.6
Bāhubali 2: The Conclusion,2017-04-28,74.0,"Action,Adventure,Fantasy", Telugu,31000000.0,275947313.0,244947313.0
Pokémon Heroes,2002-07-13,66.0,"Animation,Adventure,Action,Fantasy", Japanese,51117129.0,20867919.0,-30249210.0
Huevos: Little Rooster's Egg-Cellent Adventure,2015-09-04,70.0,"Animation,Adventure,Comedy,Family"," Spanish, Castilian",5300000.0,26072723.0,20772723.0
Pokémon: Arceus and the Jewel of Life,2009-11-06,71.0,"Family,Animation,Adventure,Fantasy", Japanese,30672739.2,50673078.0,20000338.8
Ong Bak 3,2010-05-05,60.0,"Action,Adventure,History", Thai,8501932.4,2340363.0,-6161569.4
Shin Godzilla,2016-10-13,71.0,"Action,Science Fiction,Horror", Japanese,15000000.0,77947607.0,62947607.0
Kung Fu Jungle,2014-10-31,67.0,"Action,Thriller,Crime", Cantonese,25000000.0,129115.0,-24870885.0
Bungo Stray Dogs: Dead Apple,2018-03-03,83.0,"Animation,Action,Comedy,Mystery,Crime,Fantasy", Japanese,161000000.0,1213425726.6,1052425726.5999999
Doraemon: Nobita and the Island of Miracles - Animal Adventure,2012-03-03,70.0,"Family,Animation,Adventure", Japanese,82095400.0,501240695.4,419145295.4
Flower & Snake II,2005-05-14,62.0,"Drama,Thriller,Romance", Japanese,178400000.0,465590537.4,287190537.4
Evangelion: 2.0 You Can (Not) Advance,2010-04-28,79.0,"Animation,Science Fiction,Action,Drama", Japanese,29202530.2,41162041.0,11959510.8
Dragon Ball Z Side Story: Plan to Eradicate the Saiyans,1993-09-23,62.0,"Action,Adventure,Animation", Japanese,88600000.0,641153201.2,552553201.2
Sakuya: The Slayer of Demons,2000-12-08,63.0,"Adventure,Fantasy", Japanese,130900000.0,365868379.2,234968379.2
Messi,2014-09-06,74.0,Documentary," Spanish, Castilian",79500000.0,708023892.4,628523892.4
Beauty and the Beast,2014-02-12,61.0,"Fantasy,Romance", French,160000000.0,1268697483.0,1108697483.0
Beauty and the Beast,2014-02-12,61.0,"Fantasy,Romance", French,20000000.0,438656843.0,418656843.0
Operation Condor,1991-02-07,74.0,"Action,Adventure,Crime,Thriller", Cantonese,112000000.0,589784229.4,477784229.4
Fate/stay night: Heaven's Feel I. Presage Flower,2017-11-16,76.0,"Action,Animation,Drama,Fantasy,Romance", Japanese,9652108.0,17422935.0,7770827.0
The Skin I Live In,2011-12-26,75.0,"Drama,Horror,Mystery,Thriller"," Spanish, Castilian",13000000.0,33750478.0,20750478.0
Asterix & Obelix: Mission Cleopatra,2006-08-24,74.0,"Family,Fantasy,Comedy,Adventure", French,58500000.0,128027976.0,69527976.0
Kizumonogatari Part 3: Reiketsu,2017-01-06,81.0,"Animation,Fantasy,Mystery", Japanese,60380000.0,1225860042.8,1165480042.8
3-Iron,2004-10-15,78.0,"Drama,Romance,Crime", Korean,6981937.4,3403957.0,-3577980.4000000004
Parasyte: Part 2,2015-04-25,70.0,"Science Fiction,Horror", Japanese,100140000.0,709840720.6,609700720.6
For a Few Dollars More,2010-04-24,80.0,Western, Italian,600000.0,15000000.0,14400000.0
An Affair: My Sister-in-law's Love,2018-07-26,10.0,"Drama,Romance", Korean,201940000.0,38157314.0,-163782686.0
Gantz,2011-09-11,66.0,"Horror,Action,Science Fiction", Japanese,127400000.0,507452658.6,380052658.6
Revenge,2018-02-07,64.0,"Action,Thriller,Horror", French,2900000.0,692079.0,-2207921.0
Operation Mekong,2016-09-30,70.0,"Action,Adventure,Crime,War", Chinese,30200000.0,173000000.0,142800000.0
Anatomy of Hell,2005-10-01,48.0,Drama, French,148800000.0,665830147.0,517030147.0
Pokémon 4Ever,2001-07-06,65.0,"Adventure,Fantasy,Animation,Science Fiction,Family", Japanese,38700000.0,28023563.0,-10676437.0
I Don't Like Younger Men,2017-01-01,37.0,Romance, Korean,58670000.0,385960548.2,327290548.2
Erotic Tutoring 2,2019-06-07,68.0,"Romance,Drama", Korean,164000000.0,374254139.0,210254139.0
Lee Chaedam's G-Spot,2017-10-26,54.0,Romance, Korean,88600000.0,370156261.0,281556261.0
One Piece: The Movie,2000-03-04,70.0,"Action,Animation,Adventure,Comedy,Fantasy", Japanese,128400000.0,798760588.8,670360588.8
Pokémon: Lucario and the Mystery of Mew,2006-08-16,69.0,"Family,Adventure,Animation,Fantasy,Action,Science Fiction", Japanese,94000000.0,365514109.8,271514109.8
In the Mood for Love,2001-03-29,81.0,"Drama,Romance", Cantonese,150000.0,12854953.0,12704953.0
The Monkey King,2014-04-05,56.0,"Action,Adventure,Family", Chinese,82000000.0,2301495.6,-79698504.4
Well,2016-09-22,41.0,Drama, Hungarian,139800000.0,581972415.8,442172415.79999995
The Lover,1992-01-22,70.0,"Drama,Romance", French,26814012.8,5013090.0,-21800922.8
Andhadhun,2018-10-05,76.0,"Crime,Thriller,Comedy", Hindi,4500000.0,40000000.0,35500000.0
Terrified,2018-05-03,66.0,Horror," Spanish, Castilian",75100000.0,636679839.4,561579839.4
The Girl Next Door 2,2018-12-14,68.0,Romance, Korean,78200000.0,360564423.2,282364423.2
Asura,2012-09-29,72.0,"Animation,Drama,History,Horror", Japanese,130200000.0,563061317.4,432861317.4
The Horde,2010-02-10,59.0,"Action,Horror,Thriller", French,122300000.0,437163321.4,314863321.4
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002-12-22,77.0,"Action,Animation,Adventure,Fantasy", Japanese,142000000.0,976096789.6,834096789.6
Mom's Friend 3,2017-03-30,48.0,"Romance,Drama", Korean,119000000.0,948498291.2,829498291.2
BLAME!,2017-05-19,64.0,"Action,Drama,Science Fiction,Animation", Japanese,178000000.0,462715462.8,284715462.8
Shanghai Fortress,2019-08-09,55.0,"Science Fiction,War", Chinese,30000000.0,60875030.0,30875030.0
The Ghost Story IX,1992-01-01,0.0,"Drama,Fantasy", Chinese,199600000.0,175269998.8,-24330001.199999988
The Last King,2016-07-14,57.0,"Action,Adventure,Drama,History", Norwegian,5233963.0,30150779.2,24916816.2
Hot Neighbors,2016-01-28,62.0,"Drama,Romance", Korean,100200000.0,288405522.6,188205522.60000002
Ne Zha,2019-08-22,79.0,"Animation,Fantasy,Adventure", Chinese,20000000.0,742500000.0,722500000.0
Iron Man: Rise of Technovore,2013-04-16,58.0,"Science Fiction,Animation,Action", Japanese,170200000.0,284456048.0,114256048.0
Flavors of Youth,2018-08-04,69.0,"Animation,Romance,Drama", Chinese,9620000.0,496334.0,-9123666.0
The Legend of Drunken Master,1994-02-03,74.0,"Action,Comedy", Cantonese,10000000.0,11546543.0,1546543.0
The Treacherous,2015-05-21,60.0,"Drama,History", Korean,169900000.0,591824588.0,421924588.0
